experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,environment,milliseconds_per_repeat,bad_over_good_ratio
transfer_overhead,10000,0.03814697265625,cuda,float32,bad_repeated_transfer,50,0.0033736000186763,6.74720003735274e-05,local,0.06747200037352741,4.345182898118488
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_compute_only,50,0.0004925999965053,9.851999930106104e-06,local,0.009851999930106103,4.345182898118488
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0007461999775841,1.4923999551683664e-05,local,0.014923999551683664,4.345182898118488
transfer_overhead,10000,0.03814697265625,cuda,float32,good_keep_on_gpu,50,0.000776400003815,1.5528000076301396e-05,local,0.015528000076301396,4.345182898118488
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_compute_only,50,0.0007788999937474,1.5577999874949455e-05,local,0.015577999874949455,4.345182898118488
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0008755000017117,1.751000003423542e-05,local,0.017510000034235418,4.345182898118488
transfer_overhead,100000,0.3814697265625,cuda,float32,bad_repeated_transfer,50,0.0077623999968636,0.0001552479999372,local,0.1552479999372,6.151846547848714
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_compute_only,50,0.0076790000020992,0.0001535800000419,local,0.1535800000419,6.151846547848714
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0015887999907135,3.177599981427193e-05,local,0.03177599981427193,6.151846547848714
transfer_overhead,100000,0.3814697265625,cuda,float32,good_keep_on_gpu,50,0.0012618000037036,2.5236000074073672e-05,local,0.025236000074073672,6.151846547848714
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_compute_only,50,0.0008918000094126,1.783600018825382e-05,local,0.01783600018825382,6.151846547848714
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0030920999997761,6.18419999955222e-05,local,0.0618419999955222,6.151846547848714
transfer_overhead,1000000,3.814697265625,cuda,float32,bad_repeated_transfer,50,0.0364869000040926,0.0007297380000818,local,0.7297380000818,20.87112445383347
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_compute_only,50,0.0062368999933823,0.0001247379998676,local,0.1247379998676,20.87112445383347
