experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,skipped,environment,environment_device,milliseconds_per_repeat,vectorized_ms_per_repeat,loop_ms_per_repeat,loop_over_vectorized_ratio
vectorization,1000,0.003814697265625,cpu,float32,python_loop_scalar,1,0.0081935999915003,0.0081935999915003,False,local,Local CPU,8.1935999915003,0.006957000005058944,8.1935999915003,1177.7490276760288
vectorization,1000,0.003814697265625,cpu,float32,vectorized_tensor_op,100,0.0006957000005058,6.9570000050589446e-06,False,local,Local CPU,0.006957000005058944,0.006957000005058944,8.1935999915003,1177.7490276760288
vectorization,10000,0.03814697265625,cpu,float32,python_loop_scalar,1,0.0903281000209972,0.0903281000209972,False,local,Local CPU,90.3281000209972,0.0069129999610595405,90.3281000209972,13066.41118614339
vectorization,10000,0.03814697265625,cpu,float32,vectorized_tensor_op,100,0.0006912999961059,6.91299996105954e-06,False,local,Local CPU,0.0069129999610595405,0.0069129999610595405,90.3281000209972,13066.41118614339
vectorization,100000,0.3814697265625,cpu,float32,python_loop_scalar,1,0.8489279000204988,0.8489279000204988,False,local,Local CPU,848.9279000204988,0.06829499994637445,848.9279000204988,12430.308231745823
vectorization,100000,0.3814697265625,cpu,float32,vectorized_tensor_op,100,0.0068294999946374,6.829499994637445e-05,False,local,Local CPU,0.06829499994637445,0.06829499994637445,848.9279000204988,12430.308231745823
vectorization,1000000,3.814697265625,cpu,float32,python_loop_scalar,1,8.272942400013562,8.272942400013562,False,local,Local CPU,8272.942400013562,0.08176600007573143,8272.942400013562,101178.2696029057
vectorization,1000000,3.814697265625,cpu,float32,vectorized_tensor_op,100,0.0081766000075731,8.176600007573143e-05,False,local,Local CPU,0.08176600007573143,0.08176600007573143,8272.942400013562,101178.2696029057
vectorization,1000,0.003814697265625,cuda,float32,python_loop_scalar,1,0.0279190000146627,0.0279190000146627,False,local,Local GPU,27.9190000146627,0.016976000042632222,27.9190000146627,1644.615925103032
vectorization,1000,0.003814697265625,cuda,float32,vectorized_tensor_op,100,0.0016976000042632,1.6976000042632223e-05,False,local,Local GPU,0.016976000042632222,0.016976000042632222,27.9190000146627,1644.615925103032
vectorization,10000,0.03814697265625,cuda,float32,python_loop_scalar,1,0.2814797000028193,0.2814797000028193,False,local,Local GPU,281.4797000028193,0.02179600007366389,281.4797000028193,12914.282393627409
vectorization,10000,0.03814697265625,cuda,float32,vectorized_tensor_op,100,0.0021796000073663,2.179600007366389e-05,False,local,Local GPU,0.02179600007366389,0.02179600007366389,281.4797000028193,12914.282393627409
vectorization,100000,0.3814697265625,cuda,float32,python_loop_scalar,1,2.788619800005108,2.788619800005108,False,local,Local GPU,2788.619800005108,0.01888300001155585,2788.619800005108,147678.8539055528
vectorization,100000,0.3814697265625,cuda,float32,vectorized_tensor_op,100,0.0018883000011555,1.888300001155585e-05,False,local,Local GPU,0.01888300001155585,0.01888300001155585,2788.619800005108,147678.8539055528
vectorization,1000000,3.814697265625,cuda,float32,python_loop_scalar,1,24.41128999998909,24.41128999998909,False,local,Local GPU,24411.28999998909,0.015273999888449907,24411.28999998909,1598225.1000570413
vectorization,1000000,3.814697265625,cuda,float32,vectorized_tensor_op,100,0.0015273999888449,1.5273999888449908e-05,False,local,Local GPU,0.015273999888449907,0.015273999888449907,24411.28999998909,1598225.1000570413
