experiment,n,device,dtype,mean_seconds,std_seconds,min_seconds,max_seconds,repeats,warmup
matmul,16,cpu,float32,3.056667628698051e-06,3.936419452070401e-07,2.6999914553016424e-06,4.9000082071870565e-06,30,10
matmul,32,cpu,float32,3.403334024672707e-06,2.2511753030456042e-07,3.100023604929447e-06,4.4000043999403715e-06,30,10
matmul,64,cpu,float32,3.4223334902587034e-05,7.655677182942332e-05,5.399982910603285e-06,0.00029739999445155263,30,10
matmul,128,cpu,float32,1.733999912782262e-05,7.833950814011617e-06,1.1199997970834374e-05,3.580001066438854e-05,30,10
matmul,256,cpu,float32,5.285332736093551e-05,9.943696493504726e-06,4.390001413412392e-05,9.270000737160444e-05,30,10
matmul,512,cpu,float32,0.00024915999868729464,0.00016860842003632776,0.00015470001380890608,0.0010030999837908894,30,10
matmul,1024,cpu,float32,0.002328940000734292,0.0003640835203817421,0.001611499988939613,0.003194799995981157,30,10
matmul,2048,cpu,float32,0.015295453333722737,0.0027670781748177723,0.012947999988682568,0.027383899985579774,30,10
matmul,4096,cpu,float32,0.10769822333046856,0.008846733688435167,0.1008486999780871,0.13639169998350553,30,10
matmul,16,cuda,float32,2.2530000812063615e-05,7.160624490042783e-06,1.8699996871873736e-05,5.23999915458262e-05,30,10
matmul,32,cuda,float32,2.3156668369968732e-05,1.6420509254781997e-06,2.13000166695565e-05,2.929999027401209e-05,30,10
matmul,64,cuda,float32,4.196999555764099e-05,3.142060679511751e-06,3.9000005926936865e-05,5.490001058205962e-05,30,10
matmul,128,cuda,float32,4.27500024670735e-05,1.6449097920500628e-05,2.2599997464567423e-05,0.00011209998046979308,30,10
matmul,256,cuda,float32,4.882000988194098e-05,2.1592024432825588e-05,4.3400010326877236e-05,0.00016300001880154014,30,10
matmul,512,cuda,float32,3.6210005055181683e-05,3.2456172451221757e-06,3.399999695830047e-05,4.759998410008848e-05,30,10
matmul,1024,cuda,float32,0.0001345133340995138,0.00011233819889154518,0.00010130001464858651,0.0007126999844331294,30,10
matmul,2048,cuda,float32,0.0006109166686655953,0.00010845270191289777,0.0005473000055644661,0.001109300006646663,30,10
matmul,4096,cuda,float32,0.004759100000956096,0.00012047560816158197,0.004665200016461313,0.005182099994271994,30,10
