experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,skipped
vectorization,1000,0.003814697265625,cpu,float32,vectorized_tensor_op,100,0.0006957000005058944,6.9570000050589446e-06,False
vectorization,1000,0.003814697265625,cpu,float32,python_loop_scalar,1,0.008193599991500378,0.008193599991500378,False
vectorization,10000,0.03814697265625,cpu,float32,vectorized_tensor_op,100,0.000691299996105954,6.91299996105954e-06,False
vectorization,10000,0.03814697265625,cpu,float32,python_loop_scalar,1,0.09032810002099723,0.09032810002099723,False
vectorization,100000,0.3814697265625,cpu,float32,vectorized_tensor_op,100,0.006829499994637445,6.829499994637445e-05,False
vectorization,100000,0.3814697265625,cpu,float32,python_loop_scalar,1,0.8489279000204988,0.8489279000204988,False
vectorization,1000000,3.814697265625,cpu,float32,vectorized_tensor_op,100,0.008176600007573143,8.176600007573143e-05,False
vectorization,1000000,3.814697265625,cpu,float32,python_loop_scalar,1,8.272942400013562,8.272942400013562,False
