experiment,batch_size,device,epochs,learning_rate,seed,num_workers,model,parameter_count,train_runtime_seconds,train_examples,train_examples_total,train_examples_per_second,train_eval_runtime_seconds,train_accuracy,train_eval_examples,train_eval_examples_per_second,test_runtime_seconds,test_accuracy,test_examples,test_examples_per_second
batch_size_cifar10,20,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,325.91211110001314,50000.0,500000.0,1534.1559364345446,16.531021900009364,0.97666,50000.0,3024.6164031741846,3.242002000013599,0.738,10000.0,3084.5138281710047
batch_size_cifar10,50,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,319.7757008999761,50000.0,500000.0,1563.5959786587944,14.594851300003938,0.83616,50000.0,3425.8656681199973,2.898941499995999,0.7138,10000.0,3449.5349423276743
batch_size_cifar10,100,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,297.2113190999953,50000.0,500000.0,1682.3047033137302,15.996321500017075,0.68734,50000.0,3125.7186222436594,3.1326430999906734,0.641,10000.0,3192.1925609814193
batch_size_cifar10,200,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,298.67653270001756,50000.0,500000.0,1674.0518429085494,15.102208600001177,0.59028,50000.0,3310.7740281111005,3.0284033000061754,0.5751,10000.0,3302.07010406428
batch_size_cifar10,500,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,281.56762239997624,50000.0,500000.0,1775.7723552807263,15.053467000019737,0.4679,50000.0,3321.4939787581457,2.959195700008422,0.4718,10000.0,3379.296610890432
batch_size_cifar10,1000,cpu,10,0.01,0,0,ProjectCIFAR10CNN,2193226,274.496209200006,50000.0,500000.0,1821.5187796480109,14.781350699980976,0.34962,50000.0,3382.6408029182576,3.0016204999992624,0.354,10000.0,3331.5337498536064
