experiment,n,device,dtype,mean_seconds,std_seconds,min_seconds,max_seconds,repeats,warmup
matmul,16,cpu,float32,4.159232776146382e-06,5.510331480916825e-07,3.8860016502439976e-06,6.991002010181546e-06,30,10
matmul,32,cpu,float32,6.893334890870998e-06,1.5205758549623257e-06,6.3689949456602335e-06,1.4140998246148229e-05,30,10
matmul,64,cpu,float32,1.0168500011786819e-05,1.62113863439751e-07,9.825002052821219e-06,1.0705989552661777e-05,30,10
matmul,128,cpu,float32,2.4182099635557583e-05,7.028637140568467e-07,2.3604996385984123e-05,2.732100256253034e-05,30,10
matmul,256,cpu,float32,0.00013531249957547212,1.6579898186614368e-06,0.0001337589928880334,0.00013904800289310515,30,10
matmul,512,cpu,float32,0.0009120445999239261,2.26313268061695e-06,0.0009064729965757579,0.000915976008400321,30,10
matmul,1024,cpu,float32,0.0070767194997946115,0.00011418554035116749,0.007034155001747422,0.007677002999116667,30,10
matmul,2048,cpu,float32,0.055523503000343526,7.01145316748342e-05,0.05539275299815927,0.055703646998154,30,10
matmul,4096,cpu,float32,0.4648196617679787,0.006227722486920425,0.4606045030086534,0.48342128499643877,30,10
matmul,16,cuda,float32,1.6981997760012746e-05,2.0662627800573946e-06,1.6013000276871026e-05,2.7561007300391793e-05,30,10
matmul,32,cuda,float32,1.8738900447109093e-05,1.4368032790431634e-06,1.7705999198369682e-05,2.5116998585872352e-05,30,10
matmul,64,cuda,float32,1.876976602943614e-05,5.753039141822648e-07,1.8006991012953222e-05,2.0431005395948887e-05,30,10
matmul,128,cuda,float32,1.6449433557378747e-05,9.126273108444269e-07,1.5724013792350888e-05,2.060100086964667e-05,30,10
matmul,256,cuda,float32,1.859550199393804e-05,1.6822774712168594e-06,1.7676997231319547e-05,2.649900852702558e-05,30,10
matmul,512,cuda,float32,2.247250182942177e-05,4.193690705423883e-07,2.2032007109373808e-05,2.437700459267944e-05,30,10
matmul,1024,cuda,float32,8.706813144575184e-05,2.3983912473158195e-06,8.254300337284803e-05,9.541200415696949e-05,30,10
matmul,2048,cuda,float32,0.0004090136339073069,5.979138971721557e-06,0.00040038800216279924,0.00042529500206001103,30,10
matmul,4096,cuda,float32,0.003351960100311165,0.00016023295288817156,0.0028530569979920983,0.0034463519987184554,30,10
