experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,skipped
vectorization,1000,0.003814697265625,cuda,float32,vectorized_tensor_op,100,0.0010280129499733448,1.0280129499733448e-05,False
vectorization,1000,0.003814697265625,cuda,float32,python_loop_scalar,1,0.016042347997426987,0.016042347997426987,False
vectorization,10000,0.03814697265625,cuda,float32,vectorized_tensor_op,100,0.0010070109274238348,1.0070109274238348e-05,False
vectorization,10000,0.03814697265625,cuda,float32,python_loop_scalar,1,0.15902616397943348,0.15902616397943348,False
vectorization,100000,0.3814697265625,cuda,float32,vectorized_tensor_op,100,0.0009996809531003237,9.996809531003237e-06,False
vectorization,100000,0.3814697265625,cuda,float32,python_loop_scalar,1,1.5980400750413537,1.5980400750413537,False
vectorization,1000000,3.814697265625,cuda,float32,vectorized_tensor_op,100,0.0010406420333310962,1.0406420333310962e-05,False
vectorization,1000000,3.814697265625,cuda,float32,python_loop_scalar,1,16.0106602050364,16.0106602050364,False
