experiment,batch_size,device,epochs,learning_rate,seed,num_workers,model,parameter_count,train_runtime_seconds,train_examples,train_examples_total,train_examples_per_second,train_eval_runtime_seconds,train_accuracy,train_eval_examples,train_eval_examples_per_second,test_runtime_seconds,test_accuracy,test_examples,test_examples_per_second
batch_size_cifar10,20,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,72.23525730590336,50000.0,500000.0,6921.827631659006,5.593039546976797,0.97496,50000.0,8939.68290051274,1.1149435909464955,0.7398,10000.0,8969.063620080386
batch_size_cifar10,50,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,55.534461534,50000.0,500000.0,9003.418529481622,4.876095179002732,0.83612,50000.0,10254.10664978572,0.9747949430020526,0.716,10000.0,10258.567785757321
batch_size_cifar10,100,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,49.61419318593107,50000.0,500000.0,10077.761380221,4.613417441025376,0.68894,50000.0,10837.952697574885,0.921654736972414,0.6417,10000.0,10850.050022907124
batch_size_cifar10,200,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,46.56499268603511,50000.0,500000.0,10737.680200472802,4.490527725080028,0.59028,50000.0,11134.548779366221,0.9010790509637445,0.5742,10000.0,11097.805447041024
batch_size_cifar10,500,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,45.37368412793148,50000.0,500000.0,11019.60331434066,4.582556172972545,0.46788,50000.0,10910.940992910238,0.9176211680751294,0.4717,10000.0,10897.743369387113
batch_size_cifar10,1000,cuda,10,0.01,0,0,ProjectCIFAR10CNN,2193226,44.478317452943884,50000.0,500000.0,11241.432424438675,4.631521406001411,0.34968,50000.0,10795.588666655245,0.9296769810607657,0.3539,10000.0,10756.424224454771
